fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
85,9,Z9-053,379,ESCUELA ESTANISLAO DEL CAMPO,,PLOMERIA,2026-03-20,finalizado,Cambiar de cañerías por rotura en baños de nenas
86,9,Z9-054,384,ESCUELA JUAN M. DE PUEYRREDON,,ELECTRICIDAD,2026-03-20,finalizado,reponer tubos de luz y arreflar tomacorrientes pb
87,9,Z9-055,394,INSTITUTO DE ENSEÑANZA SUPERIOR SIMÓN BOLIVAR,,OTROS,2026-03-25,finalizado,Limpieza de filtros de aire acondicionado de 30.000 frigorias BGH
88,9,Z9-056,384,ESCUELA JUAN M. DE PUEYRREDON,,OTROS,2026-03-25,pendiente,Impermeabilizar circulación de establecimiento a comedor por continuas filtraciones
89,9,Z9-057,400,J.DE INF. 9 DE JULIO,,HERRERIA,2026-03-25,finalizado,Colocar bajadas pluviales y canaleta en sala por continua filtración dado a que las mismas no son de las dimensiones adecuadas
90,9,Z9-058,387,J.DE INF. JUAN M. PUEYRREDON,,ELECTRICIDAD,2026-03-25,finalizado,Colocar 12 tubos LED 18W y reparar tomacorriente de televisor
91,9,Z9-059,405,J.DE INF. HEROES DE MALVINAS(EX-DE BºI.P.V.CNO.A VILLA POSSE,,ELECTRICIDAD,2026-03-25,finalizado,Reponer 15 tubos LED 18W
92,9,Z9-060,390,J.DE INF. PROVINCIA LA RIOJA,,ELECTRICIDAD,2026-03-25,finalizado,"Reparar dos tomas exteriores, fijar tubos de luz que se encuentran desprendidos, reponer 4 tubos LED 18W, Cambiar llaves de luz de cocina de forma que quede más accesible, colocar tomacorrientes en cocina."
93,9,Z9-061,390,J.DE INF. PROVINCIA LA RIOJA,,ALBAÑILERIA,2026-03-25,trabajando,Revocar pared exterior donde se colocaron dos llaves de paso y ejecutar piso exterior con loseta de hormigón vibrado que conecte pereda perimetral existente con salida de emergencia
94,9,Z9-062,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,OTROS,2026-03-26,finalizado,Se solicita con caracter de urgencia el presupuesto de la pintura exterior del establecimiento.
95,9,Z9-063,380,ESCUELA JOSE MARIA BEDOYA,,HERRERIA,2026-03-26,pendiente,Se solicita el sellado de chapas y colocar babetas en los encuentros con parapeto por continuas filtraciones en sala de dirección CENMA ubicada en planta alta
96,9,Z9-064,385,ESCUELA MONSEÑOR M. DE ANDREA,,ALBAÑILERIA,2026-03-27,finalizado,"Extraer 7 losetas que se encuentral en el perimetro de rejilla patio posterior y colocar nuevas. Ejecutar vereda de hormigón peinado que vincule ingreso con playón deportivo de 1,20m de ancho con sus respectivas juntas de dilatación cada 3 metros"
97,9,Z9-065,376,J.DE INF. PEDRO RUIZ DE GARIBAY,,ALBAÑILERIA,2026-03-27,finalizado,Ejecutar vereda perimetral de hormigón peinado en patio de 18.20m x 1.00m y colocar terminación de hormigón en juegos en forma de cono por mayor seguridad
98,9,Z9-066,401,I.P.E.M. Nº 19 POETA OSCAR GUIÑAZU ALVAREZ,,HERRERIA,2026-03-30,pendiente,Se solicita con urgencia reparar la puerta principal del establecimiento ya que se encuentra trabada.
99,9,Z9-067,402,I.P.E.M. Nº 15 SANTIAGO AYALA,,ELECTRICIDAD,2026-03-30,pendiente,Colocar 20 ventiladores dispuestos dos en cada aula del establecimiento.
100,9,Z9-068,403,ESCUELA MADRE MARIA DEL TRANSITO,,HERRERIA,2026-03-30,finalizado,Colocar cerradura nueva de puerta principal por acto de vandalismo y dos canastos para reflectores
101,9,Z9-069,403,ESCUELA MADRE MARIA DEL TRANSITO,,ELECTRICIDAD,2026-03-30,finalizado,Colocar dos reflectores nuevos en ingreso de establecimiento. NOTA: los mismos no se colocarán sin la posterior instalación inmediata de los canastos por continuos actos delictivos.
102,9,Z9-070,394,INSTITUTO DE ENSEÑANZA SUPERIOR SIMÓN BOLIVAR,,ELECTRICIDAD,2026-03-30,finalizado,Colocar 26 lamparas 14w ubicadas en pasillos y escalera
103,9,Z9-071,401,I.P.E.M. Nº 19 POETA OSCAR GUIÑAZU ALVAREZ,,PLOMERIA,2026-03-31,finalizado,"Desobstruir mingitorios baño de varones, reparar descarga de bachas en laboratorio y cantina por continuas perdidas"
104,9,Z9-072,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,ELECTRICIDAD,2026-03-30,pendiente,Colocar ocho tomacorrientes dobles en dos aulas pertenecientes a primer piso. Colocar circuitos separados en cada aula a nuevo tablero seccional con su respectiva conexión a tablero general existente.
106,9,Z9-074,387,J.DE INF. JUAN M. PUEYRREDON,,ALBAÑILERIA,2026-03-31,finalizado,Podar recionalmente arbol de gran porte ubicado en el patio posterior del jardín. Se deberá dejar un espacio de 80 cm de las ramas con respecto a nivel de techo o medianera.
107,9,Z9-075,400,J.DE INF. 9 DE JULIO,,ALBAÑILERIA,2026-03-31,finalizado,Podar racionalmente arbol de porte mediano y otro chico ubicados en el patio delantero del jardín. Se deberá dejar un espacio de 80 cm de las ramas con respecto a nivel de techo o medianera.
108,9,Z9-076,380,ESCUELA JOSE MARIA BEDOYA,,ELECTRICIDAD,2026-04-01,finalizado,"Se solicita con carácter de urgencia la intervención de un oficial electricista para atender los inconvenientes eléctricos detectados en distintos sectores del establecimiento.
Resulta necesario realizar un relevamiento completo de la instalación a fin de identificar el origen de los cortes de suministro eléctrico, verificando el estado de los circuitos, conexiones y protecciones existentes.
Asimismo, se deberá elaborar un informe detallado con el diagnóstico de la situación y las posibles soluciones, el cual deberá ser remitido a inspección para su evaluación y posterior intervención."
109,9,Z9-077,376,J.DE INF. PEDRO RUIZ DE GARIBAY,,ELECTRICIDAD,2026-04-01,finalizado,Se solicita con carácter de urgencia la intervención de un oficial electricista ya que el establecimiento se encuentra sin luz.
110,9,Z9-078,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,ELECTRICIDAD,2026-04-01,finalizado,Colocar reflector en ingreso con su correspondiente canasto de seguridad y dos en patio interior. Verificar la ausencia de corriente electrica en pilar de luminaria exterior
111,9,Z9-079,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,PLOMERIA,2026-04-01,finalizado,"Se solicita un oficial de plomería en conjunto con inspección para realizar una evaluación general del sistema cloacal contemplando apertura de cámaras de inspección, séptica y estado de pozo absorbente con el fin de corroborar su correcto funcionamiento dado a hundimiento en sector."
112,9,Z9-080,402,I.P.E.M. Nº 15 SANTIAGO AYALA,,ALBAÑILERIA,2026-04-01,pendiente,Colocar placas de yeso en aula 1 (1.20x3.00m y 0.90x0.40) laboratorio (0.70x1.80; 0.80x0.90 ; 7 huecos de 0.40x0.40) aula de 6to (4.20x1.20m) y aula de 5to ( 2 parches de 0.60x0.50)
