fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
164,9,Z9-132,383,ESCUELA 9 DE JULIO,,HERRERIA,2026-05-04,pendiente,Reparar mástil de escuela
165,9,Z9-133,397,J.DE INF. TTE. GRAL. PABLO RICCHIERI,,GAS,2026-05-04,pendiente,Reparar calefactores de aulas.
166,9,Z9-134,378,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,,ELECTRICIDAD,2026-05-04,finalizado,"Reestablecer suministro eléctrico de distintos sectores del establecimiento que permanecen sin suministro eléctrico, así como también un desbalance de fases que afecta el normal funcionamiento de distintos espacios escolares"
167,9,Z9-135,386,ESCUELA CORNELIO SAAVEDRA,,PLOMERIA,2026-05-04,trabajando,"Cambiar mochila en baño de nenas y sellar descarga adecuadamente, cambiar kit de pulsador de mochila en baño de varones y uno en baño de docentes"
168,9,Z9-136,381,J.DE INF. FRAY JUSTO SANTA MARIA DE ORO,,ELECTRICIDAD,2026-05-04,pendiente,Reparar enchufe de cocina
169,9,Z9-137,405,J.DE INF. HEROES DE MALVINAS(EX-DE BºI.P.V.CNO.A VILLA POSSE,,HERRERIA,2026-05-04,pendiente,"Realizar la colocación y soldadura de chapas metálicas provistas por el establecimiento, en la estructura del semicubierto del patio, con el fin de reforzar la seguridad y evitar posibles intrusiones o robos"
170,9,Z9-138,405,J.DE INF. HEROES DE MALVINAS(EX-DE BºI.P.V.CNO.A VILLA POSSE,,PLOMERIA,2026-05-05,finalizado,"Sellar sifón de cocina el cual presenta pérdidas y cambiar grifería de bacha en cocina, cambiar kit de mochila en aula de 5, sellar marmol de sala de 3 que se encuentra suelto, reparar perdida de bacha en la de 4."
171,9,Z9-139,402,I.P.E.M. Nº 15 SANTIAGO AYALA,,HERRERIA,2026-05-05,pendiente,"Quitar soldadura de reja de ingreso y reparar su cerradura, reparar mástil en patio, reparar pestillo de puerta metalica en ingreso y puerta metálica de pasillo la cual se traba"
172,9,Z9-140,401,I.P.E.M. Nº 19 POETA OSCAR GUIÑAZU ALVAREZ,,ELECTRICIDAD,2026-05-05,finalizado,Acudir por falla electrica no hay luz en aulas
173,9,Z9-141,382,I.P.E.M. Nº 136 DR. ALFREDO L. PALACIOS,,PLOMERIA,2026-05-07,finalizado,Se solicita acudir con urgencia por falta de suministro de agua en el establecimiento.
