ESTABLECIMIENTOS ANEXOS / ESCUELAS NOCTURNAS / CENMA
Total: 143

- ID 177 | CUE 140049300 | ESCUELA NOCTURNA COMANDANTE EDUARDO OLIVERO | Escuela nocturna | Pablo Neruda 50 esq Acampes | Marcelo T. de Alvear
- ID 181 | CUE 140232401 | ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN ANEXO B° CENTRO AMERICA | Anexo / Escuela nocturna | Ferdinand de Lesseps 140 | CENTRO AMERICA
ZONA 5
- ID 232 | CUE 140235605 | CENMA ASIMRA ANEXO REGINO MADERS | Anexo / CENMA | MAURICIO YADAROLA N° 653 | GENERAL BUSTOS
- ID 230 | CUE 140542806 | CENMA B° PARQUE LICEO 2° SECCIÓN SEDE EDUCACIÓN A DISTANCIA | CENMA | BARTOLOME HIDALGO 1200 | PARQUE LICEO II SECCION
- ID 227 | CUE 140270907 | CENMA N° 215 SEDE B° AMPLIACION RESIDENCIAL AMERICA | CENMA | JOSE FRANCO 541 | AMPL RES AMERICA
- ID 226 | CUE 140270903 | CENMA Nº 215 ANEXO B° AMPLIACIÓN RES. AMERICA | Anexo / CENMA | JAMAICA 915 | AMPLIACION RESIDENCIAL AMERICA
- ID 229 | CUE 140542800 | CENMA PARQUE LICEO 2 SECCION | CENMA | ATALIVA HERRERA E. HIDALGO | PARQUE LICEO II SECCION
- ID 233 | CUE 140260100 | ESCUELA NOCTURNA FRAY LUIS BELTRAN | Escuela nocturna | Gelly y Obes 3110 | VILLA AZALAIS
- ID 231 | CUE 140243500 | ESCUELA NOCTURNA PAULA ALBARRACIN | Escuela nocturna | GENERAL PAZ 488 | CENTRO
- ID 228 | CUE 140307200 | ESCUELA NOCTURNA PROF. GREGORIO OLIVA | Escuela nocturna | JAMAICA 915 | AMPLIACION RESIDENCIAL AMERICA
- ID 224 | CUE 140074000 | ESCUELA NOCTURNA REPUBLICA DE CHILE | Escuela nocturna | Esquiú 1340 | PUEYRREDON
- ID 225 | CUE 140077000 | ESCUELA NOCTURNA REPUBLICA DEL LIBANO | Escuela nocturna | Uzandivaras 2254 | PATRICIOS
ZONA 6
- ID 276 | CUE 140235602 | CENMA ASIMRA ANEXO B° PATRICIOS | Anexo / CENMA | Av. Alem 2788 | PATRICIOS
- ID 277 | CUE 140553301 | CENMA B° ACOSTA SEDE EVITA | CENMA | SUIPACHA 2309 | PUEYRREDON
- ID 274 | CUE 140510700 | CENMA MANUEL DORREGO | CENMA | CAPISTRANO TISSERA S/N | ALEM ESTE
- ID 278 | CUE 140074100 | CENMA N° 19 | CENMA | ANA MARIA JANER 1551 | PUEYRREDON
- ID 275 | CUE 140061801 | CENMA N° 70 ANEXO MONSEÑOR ANGELELLI | Anexo / CENMA | AV. FEDERICO RAUCH 2790 | ARTURO CAPDEVILA
- ID 273 | CUE 140542803 | CENMA PARQUE LICEO 2 SECCION ANEXO CIUDAD DE LOS CUARTETOS | Anexo / CENMA | CALLE PUBLICA S/N | CIUDAD DE LOS CUARTETOS
- ID 279 | CUE 140011705 | ESCUELA NOCTURNA JOSÉ HERNÁNDEZ EXT. AULICA EVITA | Extension aulica / Escuela nocturna | Suipacha y Polonia | PUEYRREDON
- ID 271 | CUE 140007500 | ESCUELA NOCTURNA PADRE JOSE LEON TORRES | Escuela nocturna | Pedro de Ledesma 1755 | PARQUE MONTECRISTO
- ID 272 | CUE 140077001 | ESCUELA NOCTURNA REPUBLICA DEL LIBANO EXT AUL B° GENERAL BELGRANO | Extension aulica / Escuela nocturna | FERNANDO ABRAMO 2545 | GENERAL BELGRANO
ZONA 7
- ID 322 | CUE 140278205 | CENMA CORONEL OLMEDO ANEXO B° YAPEYÚ | Anexo / CENMA | AV. 24 SEPTIEMPBRE 2400 | YAPEYU
- ID 321 | CUE 140524300 | CENMA N° 14 DR. CESAR CUESTAS CARNERO | CENMA | CRESPIN S/Nº | GENERAL ARENALES
- ID 323 | CUE 140074101 | CENMA N° 19 ANEXO B° YOFRE H | Anexo / CENMA | MARTIN ALLENDE 2005 | YOFRE H
- ID 324 | CUE 140074101 | CENMA N° 19 SEDE EDUCACION A DISTANCIA | CENMA | MARTIN ALLENDE 2005 | YOFRE H
- ID 318 | CUE 140074102 | CENMA N° 19 SEDE MERCADO DE ABASTO | CENMA | AV. DE LA SEMILLERIA S/N | PALMAR
- ID 317 | CUE 140073500 | ESCUELA NOCTURNA 25 DE MAYO | Escuela nocturna | 2400-09-24 00:00:00 | YAPEYU
- ID 325 | CUE 140011700 | ESCUELA NOCTURNA JOSE HERNANDEZ | Escuela nocturna | MARTIN ALLENDE 2005 | YOFRE H
- ID 316 | CUE 140011701 | ESCUELA NOCTURNA JOSE HERNANDEZ EXT AUL B° ARENALES | Extension aulica / Escuela nocturna | CRESPIN S/N | ARENALES
- ID 319 | CUE 140221501 | ESCUELA NOCTURNA REPÚBLICA DEL PARAGUAY EXTENSIÓN ÁULICA CAMPO DE LA RIBERA | Extension aulica / Escuela nocturna | Martín Cartechini S/N | Campo de la Rivera
- ID 312 | CUE 140451201 | I.P.E.M Nº 3 GRAL. JUAN BAUTISTA BUSTOS-ANEXO B° ZEPA | Anexo | PUBLICA Altura: | ZEPA
ZONA 8
- ID 371 | CUE 140553300 | CENMA B° ACOSTA | CENMA | ENTRE RIOS 5000 | ACOSTA
- ID 373 | CUE 140528900 | CENMA B° MALDONADO | CENMA | PEDERNERA 952 | MALDONADO
- ID 370 | CUE 140528904 | CENMA B° MALDONADO ANEXO CENTRO VECINAL | Anexo / CENMA | Blas Parera esq Cartechini | Maldonado
- ID 369 | CUE 140528902 | CENMA B° MALDONADO SEDE B° MÜLLER | CENMA | OBISPO CASTELLANOS 256 | MULLER
- ID 366 | CUE 140278203 | CENMA CASA DE GOBIERNO SEDE SURRBAC | CENMA | Facundo Suviria 1029 | Juniors
- ID 372 | CUE 140288200 | CENMA N° 111 | CENMA | ALVAREZ DE ARENALES 990 | JUNIOR
- ID 368 | CUE 140333400 | CENMA PROFESORA MARÍA SALEME DE BURNICHÓN | CENMA | ITUIZAINGO 483 | NUEVA CORDOBA
- ID 364 | CUE 140075800 | ESCUELA NOCTURNA BERNARDO O HIGGINS | Escuela nocturna | Mario Bravo esq. Entre Ríos | ACOSTA
- ID 365 | CUE 140129500 | ESCUELA NOCTURNA FRAY JUSTO SANTA MARIA DE ORO | Escuela nocturna | Pedernera 952 | SAN VICENTE
- ID 367 | CUE 140291900 | ESCUELA NOCTURNA JUAN GODOY | Escuela nocturna | CARTECHINI ESQ BLAS PARERA | MALDONADO
- ID 374 | CUE 140221500 | ESCUELA NOCTURNA REPUBLICA DEL PARAGUAY | Escuela nocturna | López y Planes 2378 | SAN VICENTE
ZONA 9
- ID 413 | CUE 140528903 | CENMA B° MALDONADO SEDE VILLA BUSTOS | CENMA | BENJAMIN VIEL 2387 | VILLA BUSTOS
- ID 415 | CUE 140395001 | CENMA Nº 151 ANEXO SAN JAVIER | Anexo / CENMA | ANCASTI 4555 | EMPALME
- ID 414 | CUE 140510702 | CENNMA MANUEL DORREGO SEDE HOSPITAL ONCOLOGICO | CENMA | Ferroviario 1348 | Crisol norte
- ID 411 | CUE 140015500 | ESCUELA NOCTURNA ANTARTIDA ARGENTINA | Escuela nocturna | ANCASTI 4555 | EMPALME
ZONA 10
- ID 456 | CUE 140331000 | CENMA CORRAL DE PALOS | CENMA | Pje. ERNESTO GUASTONI 3472 | CORRAL DE PALOS
- ID 459 | CUE 140429303 | CENMA N° 125 ANEXO B° ITUZAINGO | Anexo / CENMA | STEPHENSON Y FULTON | ITUZAINGO
- ID 457 | CUE 140395000 | CENMA N° 151 | CENMA | LA CORUÑA Y MONSERRAT | CRISOL SUR
- ID 458 | CUE 140288211 | CENMA Nº 111 ANEXO ATILIO LOPEZ | Anexo / CENMA | SANTIAGO MORALES 4400 | FERREYRA
- ID 453 | CUE 140046004 | CENMA Nº 71 ANEXO PARQUE REPUBLICA | Anexo / CENMA | LLANQUELEN 5100 | PARQUE REPUBLICA
- ID 454 | CUE 140333407 | CENMA PROFESORA MARÍA SALEME DE BURNICHÓN SEDE B° VILLA REVOL | CENMA | AV. MADRID 2570 | VILLA REVOL
- ID 449 | CUE 140488500 | ESCUELA JULIO DIAZ USANDIVARAS (EX-ANEXO PEDRO GOYENA) | Anexo | MARIA DE LA SERNA Altura: 2850 | LAS LILAS
- ID 455 | CUE 140395100 | ESCUELA NOCTURNA FRAY MAMERTO ESQUIU | Escuela nocturna | Pje. ERNESTO GUASTONI 3472 | BRIGADIER SAN MARTIN
- ID 460 | CUE 140021700 | ESCUELA NOCTURNA PADRE GRENON | Escuela nocturna | STEPHENSON Y FULTON | ITUZANGO
- ID 450 | CUE 140516700 | J.DE INF. MADRE TERESA DE CALCUTA (EX ANEXO JUAN RAMON JIMENEZ) | Anexo | MARIA DE LA SERNA Altura: 2850 | LAS LILAS
ZONA 11
- ID 499 | CUE 140288210 | CENMA N° 111 ANEXO B° AMPLIACION FERREYRA | Anexo / CENMA | Juan Ramón Rojas S/N esq 8 | Ampliación Ferreyra
- ID 502 | CUE 140288209 | CENMA N° 111 ANEXO B° JARDIN | Anexo / CENMA | Pedro Luis de Cabrera 3070 | Jardín
- ID 503 | CUE 140288213 | CENMA N° 111 ANEXO B° OÑA | Anexo / CENMA | Amboy esq Olaen 3230 | OÑA
- ID 498 | CUE 140288205 | CENMA N° 111 Anexo Ciudad de Mis Sueños | Anexo / CENMA | RUTA 9 SUR - KM 691 | PARQUE ITUZAINGO
- ID 501 | CUE 140395002 | CENMA N° 151 ANEXO B° CERVECEROS | Anexo / CENMA | RAMON VILLAFAÑE 2900 | CERVECERO
- ID 497 | CUE 140015503 | ESCUELA NOCTURNA ANTARTIDA ARGENTINA EXT. AULICA B° CORONEL OLMEDO | Extension aulica / Escuela nocturna | Alfonso Muñecas y Victoria | CORONEL OLMEDO
- ID 500 | CUE 140335200 | ESCUELA NOCTURNA SAN LORENZO | Escuela nocturna | Calle Púb s/nombre | CIUDAD DE MIS SUEÑOS
ZONA 12
- ID 548 | CUE S/D | CENMA ALEJANDRO CARBO | CENMA | TOTORAL Y RIO GRANDE | RESIDENCIAL SANTA ROSA
- ID 544 | CUE S/D | CENMA CORONEL OLMEDO | CENMA | ldelfonso Muñecas y Victorica | CORONEL OLMEDO
- ID 545 | CUE S/D | CENMA DEAN FUNES EXT AULICA BARRIO KENNEDY | Extension aulica / CENMA | RIMINI 626 | Kennedy
- ID 543 | CUE S/D | CENMA N° 70 ANEXO BARRIO CIUDAD OBISPO ANGELELLI | Anexo / CENMA | CAMINO SAN ANTONIO KM 8 1/2 | ANGELELLI
- ID 505 | CUE 140061802 | CENMA N° 70 OBISPO ANGELELLI | CENMA | Calle publica altura: | CIUDAD OBISPO ANGELELLI
- ID 515 | CUE 140069001 | ESCUELA DR. ALBERT BRUCE SABIN - ANEXO Bº VILLA RIVADAVIA (C.E. GOBERNADOR JOSÉ MANUEL DE LA SOTA) | Anexo | CALLE PUBLICA Altura: | VILLA RIVADAVIA
- ID 546 | CUE S/D | ESCUELA NOCTURNA LUIS MARIA DRAGO EXT. AUL. ARTURO ILLIA | Extension aulica / Escuela nocturna | RIMINI 626 | KENNEDY
- ID 542 | CUE S/D | ESCUELA NOCTURNA PAULA ALBARRACIN VILLA OBISPO ANGELELLI | Escuela nocturna | Con San Antonio km 8 1/2 | VILLA ANGELLELI
- ID 547 | CUE S/D | ESCUELA NOCTURNA PAULO FREIRE ANEXO III | Anexo / Escuela nocturna | Obispo Trejo 736 | NUEVA CORDOBA
- ID 518 | CUE 140223103 | I.P.E.M. Nº 136 DR. ALFREDO L. PALACIOS ANEXO LA CARBONADA | Anexo | RUTA 9 Altura: | LA CARBONADA
- ID 541 | CUE S/D | J. DE INF. REPUBLICA DE COSTA RICA ANEXO | Anexo | Zona Rural | LA CARBONADA
ZONA 13
- ID 586 | CUE 140429302 | CENMA Nº 125 ANEXO Bº IRUPE | Anexo / CENMA | NIZA ESQ. OSTIA | IRUPE
- ID 587 | CUE 140398100 | ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES | Escuela nocturna | DEFENSA Y CACHEUTA | VILLA LIBERTADOR
- ID 585 | CUE 140398101 | ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES EXT AUL VICENTE FORESTIERI | Extension aulica / Escuela nocturna | RIO NEGRO 5800 | VILLA EL LIBERTADOR
- ID 550 | CUE 140027801 | J. DE INF. ERNESTO BANCALARI (ANEXO) | Anexo | OSTIA Altura: 4200 | IRUPE
ZONA 14
- ID 629 | CUE 140509802 | CENMA AEJANDRO CARBO ANEXO B° CABILDO | Anexo / CENMA | USHUAIA Y COLORADO | CABILDO
