fila_excel,columna_c,inspector,zona,numero,establecimiento,cue,domicilio,barrio
317,,,7.0,37.0,ESCUELA NOCTURNA JOSE HERNANDEZ EXT AUL B° ARENALES,140011701.0,CRESPIN S/N,ARENALES
318,,,7.0,38.0,ESCUELA NOCTURNA 25 DE MAYO,140073500.0,2400-09-24 00:00:00,YAPEYU
319,,,7.0,39.0,CENMA N° 19 SEDE MERCADO DE ABASTO,140074102.0,AV. DE LA SEMILLERIA S/N,PALMAR
320,,,7.0,40.0,ESCUELA NOCTURNA REPÚBLICA DEL PARAGUAY EXTENSIÓN ÁULICA CAMPO DE LA RIBERA,140221501.0,Martín Cartechini S/N,Campo de la Rivera
321,,,7.0,41.0,CENPA VILLA CHACRA DE LA MERCED B,140491000.0,San Martín S/N,Ciudad de mi Esperanza
322,,,7.0,42.0,CENMA N° 14 DR. CESAR CUESTAS CARNERO,140524300.0,CRESPIN S/Nº,GENERAL ARENALES
323,,,7.0,43.0,CENMA CORONEL OLMEDO ANEXO B° YAPEYÚ,140278205.0,AV. 24 SEPTIEMPBRE 2400,YAPEYU
324,,,7.0,44.0,CENMA N° 19 ANEXO B° YOFRE H,140074101.0,MARTIN ALLENDE 2005,YOFRE H
325,,,7.0,45.0,CENMA N° 19 SEDE EDUCACION A DISTANCIA,140074101.0,MARTIN ALLENDE 2005,YOFRE H
326,,,7.0,46.0,ESCUELA NOCTURNA JOSE HERNANDEZ,140011700.0,MARTIN ALLENDE 2005,YOFRE H
365,,,8.0,39.0,ESCUELA NOCTURNA BERNARDO O HIGGINS,140075800.0,Mario Bravo esq. Entre Ríos,ACOSTA
366,,,8.0,40.0,ESCUELA NOCTURNA FRAY JUSTO SANTA MARIA DE ORO,140129500.0,Pedernera 952,SAN VICENTE
367,,,8.0,41.0,CENMA CASA DE GOBIERNO SEDE SURRBAC,140278203.0,Facundo Suviria 1029,Juniors
368,,,8.0,42.0,ESCUELA NOCTURNA JUAN GODOY,140291900.0,CARTECHINI ESQ BLAS PARERA,MALDONADO
369,,,8.0,43.0,CENMA PROFESORA MARÍA SALEME DE BURNICHÓN,140333400.0,ITUIZAINGO 483,NUEVA CORDOBA
370,,,8.0,44.0,CENMA B° MALDONADO SEDE B° MÜLLER,140528902.0,OBISPO CASTELLANOS 256,MULLER
371,,,8.0,45.0,CENMA B° MALDONADO ANEXO CENTRO VECINAL,140528904.0,Blas Parera esq Cartechini,Maldonado
372,,,8.0,46.0,CENMA B° ACOSTA,140553300.0,ENTRE RIOS 5000,ACOSTA
373,,,8.0,47.0,CENMA N° 111,140288200.0,ALVAREZ DE ARENALES 990,JUNIOR
374,,,8.0,48.0,CENMA B° MALDONADO,140528900.0,PEDERNERA 952,MALDONADO
375,,,8.0,49.0,ESCUELA NOCTURNA REPUBLICA DEL PARAGUAY,140221500.0,López y Planes 2378,SAN VICENTE
412,,,9.0,37.0,ESCUELA NOCTURNA ANTARTIDA ARGENTINA,140015500.0,ANCASTI 4555,EMPALME
413,,,9.0,38.0,CENPA VILLA BUSTOS,140518900.0,BENJAMIN VIEL 2378,VILLA BUSTOS
414,,,9.0,39.0,CENMA B° MALDONADO SEDE VILLA BUSTOS,140528903.0,BENJAMIN VIEL 2387,VILLA BUSTOS
415,,,9.0,40.0,CENNMA MANUEL DORREGO SEDE HOSPITAL ONCOLOGICO,140510702.0,Ferroviario 1348,Crisol norte
416,,,9.0,41.0,CENMA Nº 151 ANEXO SAN JAVIER,140395001.0,ANCASTI 4555,EMPALME
417,,,9.0,43.0,INSTITUTO DE ENSEÑANAZA SUP SIMON BOLIVAR,140397100.0,AGUSTIN GARZON Altura: 1200,SAN VICENTE
454,,,10.0,37.0,CENMA Nº 71 ANEXO PARQUE REPUBLICA,140046004.0,LLANQUELEN 5100,PARQUE REPUBLICA
455,,,10.0,38.0,CENMA PROFESORA MARÍA SALEME DE BURNICHÓN SEDE B° VILLA REVOL,140333407.0,AV. MADRID 2570,VILLA REVOL
456,,,10.0,39.0,ESCUELA NOCTURNA FRAY MAMERTO ESQUIU,140395100.0,Pje. ERNESTO GUASTONI 3472,BRIGADIER SAN MARTIN
457,,,10.0,40.0,CENMA CORRAL DE PALOS,140331000.0,Pje. ERNESTO GUASTONI 3472,CORRAL DE PALOS
458,,,10.0,41.0,CENMA N° 151,140395000.0,LA CORUÑA Y MONSERRAT,CRISOL SUR
459,,,10.0,42.0,CENMA Nº 111 ANEXO ATILIO LOPEZ,140288211.0,SANTIAGO MORALES 4400,FERREYRA
460,,,10.0,43.0,CENMA N° 125 ANEXO B° ITUZAINGO,140429303.0,STEPHENSON Y FULTON,ITUZAINGO
461,,,10.0,44.0,ESCUELA NOCTURNA PADRE GRENON,140021700.0,STEPHENSON Y FULTON,ITUZANGO
498,,,11.0,37.0,ESCUELA NOCTURNA ANTARTIDA ARGENTINA EXT. AULICA B° CORONEL OLMEDO,140015503.0,Alfonso Muñecas y Victoria,CORONEL OLMEDO
499,,,11.0,38.0,CENMA N° 111 Anexo Ciudad de Mis Sueños,140288205.0,RUTA 9 SUR - KM 691,PARQUE ITUZAINGO
500,,,11.0,39.0,CENMA N° 111 ANEXO B° AMPLIACION FERREYRA,140288210.0,Juan Ramón Rojas S/N esq 8,Ampliación Ferreyra
