fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
2,10,Z10-001,428,ESCUELA PEDRO GOYENA,,Plomeria,current_date,pendiente,"Realizar ajuste sanitario en baño de alumnos, se debe realizar desobstrucción y limpieza de dos inodoros, reponer aros de goma y fuelles, reparar una válvula de descarga de inodoro y reposición de canilla en baño de docentes."
3,10,Z10-002,428,ESCUELA PEDRO GOYENA,,Albañileria,current_date,pendiente,"Reposición de picaportes y cerraduras en puertas de cocina, comedor, y sala de maestros."
4,10,Z10-003,428,ESCUELA PEDRO GOYENA,,Electricidad,current_date,pendiente,"Repración de tapa de tablero general en ingreso del establecimiento. Colocación de 5 ventiladores en dirección y aulas del establecimiento. Se sebe ejecutar tramos de conductor y cañería, además de tomacorrientes para el uso de los mismos."
5,10,Z10-004,428,ESCUELA PEDRO GOYENA,,Albañileria,current_date,pendiente,"Reparar carpinterias de box de baño de alumnos, reponer una de ellas que se encuentra faltante. Reparacion de premarco de puerta de ingreso a comedor, reposición de policarbonato. Reparación de cielorraso aplicado en voladizo de fachada del establecimiento."
6,10,Z10-005,424,ESCUELA CONSTANCIO C. VIGIL,,Albañileria,current_date,pendiente,"Se debe demoler piso de madera de tres aulas que dan a la fachada de la escuela, los cuales prensentan trozos de madera faltantes y deteriorados. Demoler pisos y contrapisos, posteriormente se ejecutará el nuevo contrapiso y la colocación de ceramicos calcareos de 20x20cm. reposicion de tres policarbonatos en ventanas de aulas, extraer vidrio roto y colocar policaqrbonato en las tres ventanas. Realizar jaulas antivandalicas para la protección de los reflectores, las mismas se fijarán a los muros con tornillos pasantes para protegerlas de vandalismos. Estabilización de tapa de cámara de inspección con mortero de asiento, ubicada en el patio del establecimiento."
7,10,Z10-006,424,ESCUELA CONSTANCIO C. VIGIL,,Electricidad,current_date,pendiente,"Ejecutar intalación eléctrica para la colocacion de reflectores en exterior del establecimiento, se deben colocar 4 reflectores en el patio y 2 en fachada. Agregar artefactos nuevos de inluminacion interior en galerias, por falta de luz en las mismas."
8,10,Z10-007,424,ESCUELA CONSTANCIO C. VIGIL,,Plomeria,current_date,pendiente,"Realizar ajuste sanitario en baño de varones, se debe reemplazar dos flotantes de depositos de descarga de inodoros, además se debe realizar desobstrucción con equipo menor en pileta d epatio por obstrucción en cañería cloacal de descarga de bacha. Desobstrucción de desague pluvial en patio interno del establecimiento."
9,10,Z10-008,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Plomeria,current_date,pendiente,"Reparación de pérdidas en cañerias de agua que se encuentran en frente de taller de mecánica y tramo de cañeria en sector de cancha de futbol, se deberá excavar y encontrar la pérdida, posteriormente se repondrán los tramos de cañería dañanado. Realizar ajuste sanitario en baño de varones y mujeres en distintos baños de pabellones. Entre los cuales se detallan: 3 flotantes de depositos de descarga de inodoros en baño de alumnos, reposición de 1 fuelle y 1 aro de goma en inodoros de baño de alumnos. Reposición de 1 flexible cromado en mingitorio de baño de alumnos. Reposición de 4 flotantes de depositos de descarga de inodoros en baño de alumnas. realizar desobstrucción de cañería cloacal desde desague de bachas exteriores hasta cámara de inspección cloacal, reponer 4 canillas en las mismas bachas. En baño de docentes de edificio de dirección reponer 1 llave de paso de mingitorios que se encuentra rota y reponer 1 fuelle y 1 aro de goma en inodoro de baño de docentes. En taller de automotores reponer 2 llaves de paso, las cuales no funcionan correctamente, no abren en su totalidad, reponer tramo de cañería de desague de mingitorio que se encuentra rota, generando perdidas, reponer un lavatorio que se encuentra roto y canilla del mismo. En cocina de paicor se debera reponer 1 fuelle en inodoro de baño y colocar rejilla en ppa de dicho baño. Extraer tanque de fibrocemento por tanque de polietileno tricapa de 1,100 litros en taller de electronica."
10,10,Z10-009,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Electricidad,current_date,pendiente,"Reponer 35 tubos LED de 25w que se encuentran quemados en sector de cocina y comedor que se encuentra en el pabellón del albergue del establecimiento. En el mismo pabellón en planta alta se deben colocar 6 ventiladores, se debe ejecutar la instalación necesario para dichos ventiladores; en cada ventilador se colocará un tomacorriente + llave de 1 punto para poder encendorlo y apagarlo desde la tecla una vez enchufado. En oficinas ubicadas en el edificio de dirección se deberá colocar 4 ventiladores en oficinas destiandas a dirección, administración y aulas."
11,10,Z10-010,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Albañileria,current_date,pendiente,Reposición de policarbonatos en puertas y ventanas en sectores indicados en plano. Realizar poda de 5 árboles en sector de pabellón de aulas. Reponer placas de durlock de cielorraso ssuspendido que se encuentren deteioradas o faltantes.
12,10,Z10-011,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Cubierta,current_date,pendiente,"Reparar canaleta con cenefa la cual se encuentra averiada en pabellón de aulas de estudiantes, la misma debera ejecutarse con angulos de soporte adecuados para su correcta fijación y seguridad."
13,10,Z10-012,417,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,,Cubierta,current_date,pendiente,"Realizar limpieza de cubierta de techos en toda la superficie de la misma, asi como tambien se debe realizar limpieza y desobstrucción de todas las canaletas y desagues pluviales hasta el cordón cuneta."
14,10,Z10-013,417,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,,Albañileria,current_date,pendiente,"Reponer placas de durlock en cielorraso suspendido que se encuentran faltantes o deterioradas, reponer policarbonatos en sectores donde se encuentran vidrios rotos o faltantes en puertass y ventanas de aulas, oficinas y SUM. en sector de pozo absorbente anulado presenta asentamiento del terreno al no haberse compactado correctamente, por lo cual se debera rellenar con arido 0-20, posteriormente se dejando la superficie resistente y segura para la integridad de los estudiantes."
15,10,Z10-014,417,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,,Plomeria,current_date,pendiente,"Realizar ajuste sanitario en baño de alumnos, en los cuales se debera reponer fuelles y aros de goma en 3 indodoros que presentan pérdidas, reparar 7 depósitos de descarga de inodoros, y realizar limpieza y desobstrucción de pileta de patio en baño de varones."
16,10,Z10-015,417,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,,Electricidad,current_date,pendiente,"Reponer artefacto LED tubos de 25w, reponer 12 tubos led en aulas y galerías del establecimientos, colocar 3 reflectores en patio exterior."
17,10,Z10-016,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Cubierta,current_date,pendiente,"Se debe realizar limpieza y barrido de la cubierta completa, asi como tambien la desobstrucción de todos los desagues plueviales y cámaras de inspección hasta cordon cuneta, posteriormente se hidrolava el sector de la cubierta indicado según lano, luego se ejecutara barrido cementicio correspondietne a la misma superficie, se finalizará con pintura elastomérica."
18,10,Z10-017,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Electricidad,current_date,pendiente,"Reposición de 6 tubos LED en galerias y aulas, colocación de tapas ciegas en bocas de tomas e iluminación y colocación de tapas en tablero general y tableros seccionales."
