fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
19,10,Z10-018,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Herreria,current_date,pendiente,"Colcoación de policarbonatos en aulas, reparación de carpinteria de box de baño, colocacion de otra nueva faltante, reposición de 16 picaportes y cerraduras en aulas y oficinas del establecimiento."
20,10,Z10-019,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Plomeria,current_date,pendiente,"Reponer canilla en baño de alumans, desobstruir dos indoros en baño de alumnos, desobstruir piletas de patio en baño de alumnos."
21,10,Z10-020,452,I.P.E.M. Nº 312 DALMACIO VELEZ SARSFIELD,,Plomeria,current_date,pendiente,"Demoler baño de alumnos construido por la escuela, dicha tarea se solicita para poder realizar ventilación de sala de producción para la habilitación del gas en el establecimiento."
22,10,Z10-021,423,I.P.E.M. Nº 176 GRANADERO JOSE MARQUEZ,,Electricidad,current_date,pendiente,"Reposición de tubos LED y luminarias del SUM, reparación de instalación eléctrica la cual produce fuga de tensión en planta alta, dejando sin suministro eléctrico a las aulas."
23,10,Z10-022,423,I.P.E.M. Nº 176 GRANADERO JOSE MARQUEZ,,Plomeria,current_date,pendiente,Reposición de fuelle y aro de goma en indoro de planta baja.
24,10,Z10-023,439,ESCUELA LIBERTADOR GENERAL SAN MARTIN,,Electricidad,current_date,pendiente,"Reparación de instalación eléctrica en aula, la cual produce fuga de tensión, dejando sin suministro eléctrico a dicha aula y baños de varones y mujeres."
25,10,Z10-024,439,ESCUELA LIBERTADOR GENERAL SAN MARTIN,,Plomeria,current_date,pendiente,"Reposición de flotantes en baños de alumnos, reposición de flexibles en mingitorios, ajuste sanitario en inodoros que presentan pérdidas."
26,10,Z10-025,420,J.DE INF. LIBERTADOR GENERAL SAN MARTIN,,Plomeria,current_date,pendiente,"Desobstrucción de piletas de patio en los dos baños de alumnos y bacha de patio, reparación de canilla de lavatorio en cocina."
27,10,Z10-026,420,J.DE INF. LIBERTADOR GENERAL SAN MARTIN,,Plomeria,current_date,pendiente,"Desobstrucción de piletas de patio en los dos baños de alumnos y bacha de patio, reparación de canilla de lavatorio en cocina."
28,10,Z10-027,447,ESCUELA MARIA EVA DUARTE (EX-DE FAMILIAS UNIDAS),,Plomeria,current_date,pendiente,"Ajuste sanitario en los dos baños del jardín, reposición de flotantes, reposición de fuelles y aro de gomas en inodoros que presentan pérdidas, desobstrucción de piletas de patio de bachas de sala de 5."
29,10,Z10-028,447,ESCUELA MARIA EVA DUARTE (EX-DE FAMILIAS UNIDAS),,Herreria,current_date,pendiente,Reposición de tejido romboidal en ingreso del jardín y cerco divisorio con la escuela primaria.
30,10,Z10-029,428,ESCUELA PEDRO GOYENA,,Herreria,current_date,pendiente,"Reposición de policarbonatos faltantes, reposición de cerraduras obsoletas."
31,10,Z10-030,428,ESCUELA PEDRO GOYENA,,Plomeria,current_date,pendiente,"Ajuste sanitario en baño docentes, realizar desobstrucción con sonda hasta cámara de inspección cloacal."
32,10,Z10-031,437,ESCUELA RUBEN DARIO,,Plomeria,current_date,pendiente,"Ajuste sanitario en baño de alumnos, realizar desobstrucción en baño de varones."
33,10,Z10-032,437,ESCUELA RUBEN DARIO,,Plomeria,current_date,pendiente,Reparación de tecla punto en aula de planta baja.
34,10,Z10-033,437,ESCUELA RUBEN DARIO,,Herreria,current_date,pendiente,Reposición de policarbonato en planta alta.
35,10,Z10-034,436,ESCUELA BARTOLOME HIDALGO,,Plomeria,current_date,pendiente,Reparación de cañería de agua que presenta pérdida en la cubierta de techos.
36,10,Z10-035,421,I.P.E.T. Nº 77 GDOR.DR.S.DEL CASTILLO,,Plomeria,current_date,pendiente,"Desobstrucción de pileta de patio en baño de docentes. Reparación de válvula de descarga en baño de alumnas, reparación de cañeria de descarga de inodoro en baño de alumnos."
37,10,Z10-036,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Albañileria,current_date,pendiente,"Realizar poda de arboles cercanos a pabellones de albergue, biblioteca y talleres y aulas."
38,10,Z10-037,451,J.DE INF. S/NOMBRE de BARRIO SAN FELIPE,,Electricidad,current_date,pendiente,"Reparación de instalación eléctrica en cocina y comedor, la cual produce fuga de tension dejando sin suministro eléctrico a comedor y cocina."
39,10,Z10-038,425,ESCUELA JUAN XXIII,,Electricidad,current_date,pendiente,"Reparación de instalación eléctrica en cocina y comedor, la cual produce fuga de tension dejando sin suministro eléctrico a comedor y cocina. Reposición de luminaria exterior."
40,10,Z10-039,425,ESCUELA JUAN XXIII,,Plomeria,current_date,pendiente,Reposición de flotante de tanque de agua ubicado en sector baño de docentes y dirección.
41,10,Z10-040,425,ESCUELA JUAN XXIII,,Herreria,current_date,pendiente,Reposición de picaporte y cerradura en puerta de ingreso de jardín.
42,10,Z10-041,425,ESCUELA JUAN XXIII,,Plomeria,current_date,pendiente,Ajsute sanitario en baños.
43,10,Z10-042,438,J.DE INF. HILARIO ASCASUBI,,Otros,current_date,pendiente,Poda de árboles en patio del jardín
44,10,Z10-043,436,ESCUELA BARTOLOME HIDALGO,,Electricidad,current_date,finalizado,"Reparación de instalación eléctrica robada, la misma se debera embutir en el muro apra evitar futuros robos."
46,10,Z10-044,427,I.P.E.M. Nº 167 JOSE MANUEL ESTRADA,,Electricidad,current_date,pendiente,Establecimiento sin luz. Revision de tableoro por posible fuga de tensión.
47,10,Z10-045,440,J.DE INF. JUAN RAMON JIMENEZ,,Herreria,current_date,finalizado,"Reposición de picaporte y cerradura en puertas de aulas aurorras, colocación de pasadores en dichas puertas."
48,10,Z10-046,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Herreria,current_date,finalizado,"Reparacion de ventana vandalizada en en planta alta, reparacion de marco y reposicion de policarbonatos de dicha ventana. Recolocación de baranda de seguridad en ingreso del establecimiento."
49,10,Z10-047,443,I.P.E.M. Nº 11 ALBERTO PIO AUGUSTO COGNIGNI,,Herreria,current_date,finalizado,Reposicion de porton de ingreso secundario. El mismo se realizara con metal desplgado. Se debe excavar y rellenar con hormigon para la colocación de columanas de dicho porton.
50,10,Z10-048,452,I.P.E.M. Nº 312 DALMACIO VELEZ SARSFIELD,,Plomeria,current_date,finalizado,"Desobstrucción de cámara registro de laboratorio, reposición de flexible cromado y desobstrucción de piletas de patio."
51,10,Z10-049,429,J.DE INF. MERCEDES DE SAN MARTIN,,Albañileria,current_date,finalizado,Realizar poda de 3 árboles en el patio del jardín
52,10,Z10-050,424,ESCUELA CONSTANCIO C. VIGIL,,Plomeria,current_date,finalizado,"Ajuste sanitario. Reposición de 4 depositos de descarga en baño de varones, desobstrucción de piletas de patio, bachas en baño de varones e inodoros."
53,10,Z10-051,424,ESCUELA CONSTANCIO C. VIGIL,,Herreria,current_date,finalizado,Reparación de reja de ingreso a la escuela y puerta de comedor. Reposición de policarbonatos en sectores indicados por inspección.
54,10,Z10-052,426,J.DE INF. JUAN XXIII,,Plomeria,current_date,finalizado,"Reposición de canillas en baño de alumnos, regular sistema de bombeo por rebalse agua en tanque elevado, reposición de flotante de alta presión."
55,10,Z10-053,429,J.DE INF. MERCEDES DE SAN MARTIN,,Electricidad,current_date,finalizado,Recolocar caja de moden en dirección y reposición de llave y tomacorriente en cocina
56,10,Z10-054,431,ESCUELA HILARIO ASCASUBI,,Plomeria,current_date,finalizado,"Desobstrucción de indodoros y piletas de patio, reposición de flexibles en mingitorios."
57,10,Z10-055,431,ESCUELA HILARIO ASCASUBI,,Electricidad,current_date,finalizado,Reposición de llave y tomacorriente en sala de maestros y reposición de tubos led en baño de docentes.
58,10,Z10-056,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Herreria,current_date,pendiente,Reposición de policarbonatos indicados por inspección en galerias y aulas de pabellones.
59,10,Z10-057,432,I.P.E.T. N°48 PRESIDENTE ROCA,,Plomeria,current_date,pendiente,Reposición de flotantes y pulsador de mochilas en baño de docentes y reposición de inodoro en baño de alumnos.
60,10,Z10-058,439,ESCUELA LIBERTADOR GENERAL SAN MARTIN,,Plomeria,current_date,pendiente,"Reparación de cañería de descarga de depósito de mingitorios, desobstrucción de inodoros en baño de alumnos."
61,10,Z10-059,439,ESCUELA LIBERTADOR GENERAL SAN MARTIN,,Herreria,current_date,pendiente,Reparación de regilla en patio interno del establecimiento.
62,10,Z10-060,441,ESCUELA ING. REGINO M. MADERS,,Plomeria,current_date,pendiente,Reparación de cañería de descarga de bacha de baño de docentes.
63,10,Z10-061,441,ESCUELA ING. REGINO M. MADERS,,Plomeria,current_date,pendiente,Extracción de ramas caidas en patio del establecimiento.
64,10,Z10-062,428,ESCUELA PEDRO GOYENA,,Albañileria,current_date,pendiente,Excavar y rellenar pozos en patio del establecimiento.
65,10,Z10-063,428,ESCUELA PEDRO GOYENA,,Electricidad,current_date,pendiente,Colocación de ventiladores en sectores indicados por inspección. Reparar tomacorrientes de aulas y oficinas.
66,10,Z10-064,440,J.DE INF. JUAN RAMON JIMENEZ,,Electricidad,current_date,pendiente,"Reposición de luminarias que se encuentren quemadas y en mal estado, colocación de reflectores en el patio, los mismos estarán cubiertos por canastos antivandálicos."
67,10,Z10-065,440,J.DE INF. JUAN RAMON JIMENEZ,,Albañileria,current_date,pendiente,"Excavar y rellenar pozo en patio del jardín, realizar contrapiso en sector intervenido."
68,10,Z10-066,444,I.P.E.M. Nº 309 PROFESOR CARLOS FUENTEALBA,,Plomeria,current_date,finalizado,"Establecimiento sin agua, realizar purgado de bomba y desobstruir desagues cloacales."
69,10,Z10-067,437,ESCUELA RUBEN DARIO,,Herreria,current_date,pendiente,Colocación de tarugos con torinillos para la colocación de caloventores que se encuentran guardados en el establecimiento.
70,10,Z10-068,429,J.DE INF. MERCEDES DE SAN MARTIN,,Plomeria,current_date,pendiente,"Reponer fuelle y aro de goma en baño de alumnos, fijar el deposito correctamente."
71,10,Z10-069,429,J.DE INF. MERCEDES DE SAN MARTIN,,Herreria,current_date,pendiente,Reposición de cerradura en sala de 3.
72,10,Z10-070,425,ESCUELA JUAN XXIII,,Plomeria,current_date,finalizado,"Ejecución de estructura de tanques elevados, se deben reponer los tres tanques que apoyarán sobre la misma. Se debe demoler la vieja estructura deteriorada, asi como tambien la extracción de cañerías y tanques viejos correspondientes. Se ejecutara membrana asfaltica c/ geotextil en sector de estuructura existente demolida. Reposición de tapa 60x60 en el exterior de la escuela. Desobstrucción de piletes de patio en cocina y baños."
73,10,Z10-071,447,ESCUELA MARIA EVA DUARTE (EX-DE FAMILIAS UNIDAS),,Plomeria,current_date,finalizado,"Realizar ajuste sanitario, Reparación de valvula de descarga, repsoición de fuelles y aros de gomas."
74,10,Z10-072,447,ESCUELA MARIA EVA DUARTE (EX-DE FAMILIAS UNIDAS),,Electricidad,current_date,finalizado,Repsoción de tomacorrientes y tubos led en sectores indicados por inspección.
75,10,Z10-073,452,I.P.E.M. Nº 312 DALMACIO VELEZ SARSFIELD,,Electricidad,current_date,finalizado,Reparación de tomacorrientes que se encuentran en cortocircuito en dos aulas. Reponer reflectores que fueron robados en el patio del estableicmiento.
76,10,Z10-074,431,ESCUELA HILARIO ASCASUBI,,Electricidad,current_date,finalizado,Reposición de llave y tomacorriente en sala de maestros y reposición de tubos led en baño de docentes.
77,10,Z10-075,423,I.P.E.M. Nº 176 GRANADERO JOSE MARQUEZ,,Plomeria,current_date,finalizado,Reposición de tramo de cañeria de agua que se encuentra pinchado en la cubierta de techos.
78,10,Z10-076,425,ESCUELA JUAN XXIII,,Plomeria,current_date,finalizado,"Establecimiento sin agua. Revisar sistema de bombeo si funciona correctamente, realizar purgado de bomba."
79,10,Z10-077,430,ESCUELA JOSE HERNANDEZ,,Plomeria,current_date,finalizado,"Establecimiento sin agua. Revisar sistema de bombeo si funciona correctamente, realizar purgado de bomba."
80,10,Z10-078,430,ESCUELA JOSE HERNANDEZ,,Plomeria,current_date,finalizado,Recolocación de cañería de agua caída en fachada del establecimiento.
81,10,Z10-079,436,ESCUELA BARTOLOME HIDALGO,,Herreria,current_date,finalizado,Ajuste de 3 pizarrones de aulas.
82,10,Z10-080,437,ESCUELA RUBEN DARIO,,Herreria,current_date,finalizado,Reparación de carpinterías y mobiliario vandalizados por robo.
83,10,Z10-081,438,J.DE INF. HILARIO ASCASUBI,,Otros,current_date,finalizado,Poda de dos árboles en patio del jardín.
84,10,Z10-082,437,ESCUELA RUBEN DARIO,,Plomeria,current_date,finalizado,"reparación de llave 1 punto, colocación de policarbonatos existentes en la escuela y desobstrucción de inodoros en planta baja."
85,10,Z10-083,437,ESCUELA RUBEN DARIO,,Plomeria,current_date,finalizado,"reparación de llave 1 punto, colocación de policarbonatos existentes en la escuela y desobstrucción de inodoros en planta baja."
86,10,Z10-084,425,ESCUELA JUAN XXIII,,Plomeria,current_date,finalizado,"reparación de llave 1 punto, colocación de policarbonatos existentes en la escuela y desobstrucción de inodoros en planta baja."
87,10,Z10-085,440,J.DE INF. JUAN RAMON JIMENEZ,,Plomeria,current_date,finalizado,"Ajuste sanitario, reposición y reparación de canillas, reposición de flexibles y desobstrucción de piletas de patio."
88,10,Z10-086,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Electricidad,current_date,finalizado,Reposición de gabinete en tablero seccional de aula.
89,10,Z10-087,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Plomeria,current_date,finalizado,"Reposición de inodoro en baño de alumnos, desobstruir inodoros que se encuentran tapadas, realizar limpieza de piletas de patio y reponer tapas de las mismas, reposición de flexibles y canilla para lavatorio"
90,10,Z10-088,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Herreria,current_date,finalizado,Reparación de carpinterias para garantizar la correcta apertura y cierre de las mismas. Reposición picaportes y cerraduras de las puertas intervenidas.
91,10,Z10-089,428,ESCUELA PEDRO GOYENA,,Herreria,current_date,finalizado,Reposición de picaportes y cerraduras en puertas.
92,10,Z10-090,428,ESCUELA PEDRO GOYENA,,Electricidad,current_date,finalizado,Reparación de tomacorrientes en comedor.
93,10,Z10-091,442,I.P.E.M. Nº 13 DR. PEDRO ESCUDERO.,,Plomeria,current_date,finalizado,"Establecimiento sin agua. reposición de bomba de gua. Realizar ajuste sanitario en baño de alumnos, reposición de canillas, flexibles, desobstrucción de inodoros y piletas de patio."
94,10,Z10-092,443,I.P.E.M. Nº 11 ALBERTO PIO AUGUSTO COGNIGNI,,Plomeria,current_date,finalizado,"Ejecutar limpieza de cubierta, realizar barrido de la misma, desobstruir canaletas y desagues pluviales."
95,10,Z10-093,445,J.DE INF. MARIA EVA DUARTE(EX S/NOM.DE B°JOSE I.DIAZ 3°SEC.,,Plomeria,current_date,finalizado,"Reparación de mochilas de descarga de inodoros, desobstrucción de inodoros y reponer canilla de servicio en baño y lavatorio de cocina."
96,10,Z10-094,446,J.DE INF. MALVINAS ARGENTINAS (EX-DE B° ALMIRANTE BROWN),,Plomeria,current_date,finalizado,"Ajuste sanitario, desobstrucción de indoros, reparación de depositos de descarga de inodoros. Reposición de canillas."
97,10,Z10-095,446,J.DE INF. MALVINAS ARGENTINAS (EX-DE B° ALMIRANTE BROWN),,Plomeria,current_date,finalizado,"Ajuste sanitario, desobstrucción de indoros, reparación de depositos de descarga de inodoros. Reposición de canillas y reposición de flexibles."
98,10,Z10-096,447,ESCUELA MARIA EVA DUARTE (EX-DE FAMILIAS UNIDAS),,Plomeria,current_date,finalizado,Realizar ajuste sanitario en baño de varones y mujeres. Realizar desobstrucción y reposición de aros de goma y fuelles y reparar 4 válvulas de descarga.
99,10,Z10-097,448,ESCUELA HEROES DE MALVINAS (EX-B° ALMIRANTE BROWN),,Plomeria,current_date,finalizado,Revisar instalación eléctrica por cortocircuito en cocina y comedor. Reposición de conductores que se encuentren fundidos.
100,10,Z10-098,448,ESCUELA HEROES DE MALVINAS (EX-B° ALMIRANTE BROWN),,Plomeria,current_date,finalizado,"Ajuste sanitario, desobstruir inodoros y limpieza de piletas de patio. reposición de canillas y flexibles faltantes y deteriorados. Reponer de inodoro roto en baño de docentes. reponer canillas en cocina y comedor."
