ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 182 | C='' | Zona 4.0 | N° 43.0 | ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN ANEXO B° CENTRO AMERICA | CUE 140232401.0 | Ferdinand de Lesseps 140 | CENTRO AMERICA
Fila 183 | C='' | Zona 4.0 | N° 44.0 | CENMA N°14 "DR. CÉSAR CUESTA CARNERO" SEDE B° CENTRO AMÉRICA | CUE 140524302.0 | Ferdinand de Lesseps 140 | Centro América
Fila 184 | C='' | Zona 4.0 | N° 45.0 | CENMA N° 168 | CUE 140245900.0 | ROQUE SAENZ PEÑA 1211 | COFICO
Fila 185 | C='' | Zona 4.0 | N° 46.0 | CENMA N° 168 SEDE EDUCACION A DISTANCIA | CUE 140245900.0 | ROQUE SAENZ PEÑA 1211 | COFICO
Fila 186 | C='' | Zona 4.0 | N° 47.0 | CENMA Nº 215 SEDE EDUCACIÓN A DISTANCIA | CUE 140270900.0 | P. NERUDA ESQ. ACAMPES | Marcelo T. de Alvear
Fila 187 | C='' | Zona 4.0 | N° 48.0 | CENMA N° 135 SEDE SACRA B° PARQUE LICEO 2° SECC | CUE 140236404.0 | JOAQUIN CASTELLANOS 4672 | PARQUE LICEO II SECCION
Fila 234 | C='' | Zona 5.0 | N° 47.0 | ESCUELA NOCTURNA FRAY LUIS BELTRAN | CUE 140260100.0 | Gelly y Obes 3110 | VILLA AZALAIS
Fila 272 | C='' | Zona 6.0 | N° 38.0 | ESCUELA NOCTURNA PADRE JOSE LEON TORRES | CUE 140007500.0 | Pedro de Ledesma 1755 | PARQUE MONTECRISTO
Fila 273 | C='' | Zona 6.0 | N° 39.0 | ESCUELA NOCTURNA REPUBLICA DEL LIBANO EXT AUL B° GENERAL BELGRANO | CUE 140077001.0 | FERNANDO ABRAMO 2545 | GENERAL BELGRANO
Fila 274 | C='' | Zona 6.0 | N° 40.0 | CENMA PARQUE LICEO 2 SECCION ANEXO CIUDAD DE LOS CUARTETOS | CUE 140542803.0 | CALLE PUBLICA S/N | CIUDAD DE LOS CUARTETOS
